Season,Club,WinHome,WinAway,Total_Won,Total_Draw,Total_FTHG,Total_FTAG,Total_G,Points,Avg_Goals,Total_HR,Total_HY
season-0910,Arsenal,15,8,23,6,48,35,83,75,2.1842105263157894,4,65
season-0910,Aston Villa,8,9,17,13,29,23,52,64,1.368421052631579,3,47
season-0910,Birmingham,8,5,13,11,19,19,38,50,1.0,1,55
season-0910,Blackburn,10,3,13,11,28,13,41,50,1.0789473684210527,2,50
season-0910,Bolton,6,4,10,9,26,16,42,39,1.105263157894737,2,54
season-0910,Burnley,7,1,8,6,25,17,42,30,1.105263157894737,0,51
season-0910,Chelsea,17,10,27,5,68,35,103,86,2.710526315789474,3,46
season-0910,Everton,11,5,16,13,35,25,60,61,1.5789473684210527,2,44
season-0910,Fulham,11,1,12,10,27,12,39,46,1.0263157894736843,0,39
season-0910,Hull,6,0,6,12,22,12,34,30,0.8947368421052632,3,55
season-0910,Liverpool,13,5,18,9,43,18,61,63,1.605263157894737,3,54
season-0910,Man City,12,6,18,13,41,32,73,67,1.9210526315789473,4,59
season-0910,Man United,16,11,27,4,52,34,86,85,2.263157894736842,1,56
season-0910,Portsmouth,5,2,7,7,24,10,34,28,0.8947368421052632,3,58
season-0910,Stoke,7,4,11,14,24,10,34,47,0.8947368421052632,3,46
season-0910,Sunderland,9,2,11,11,32,16,48,44,1.263157894736842,4,61
season-0910,Tottenham,14,7,21,7,40,27,67,70,1.763157894736842,2,58
season-0910,West Ham,7,1,8,11,30,17,47,35,1.236842105263158,4,55
season-0910,Wigan,6,3,9,9,19,18,37,36,0.9736842105263158,1,61
season-0910,Wolves,5,4,9,11,13,19,32,38,0.8421052631578947,1,38
season-1011,Arsenal,11,8,19,11,33,39,72,68,1.894736842105263,7,58
season-1011,Aston Villa,8,4,12,12,26,22,48,48,1.263157894736842,2,63
season-1011,Birmingham,6,2,8,15,19,18,37,39,0.9736842105263158,5,50
season-1011,Blackburn,7,4,11,10,22,24,46,43,1.2105263157894737,3,58
season-1011,Blackpool,5,5,10,9,30,25,55,39,1.4473684210526316,0,45
season-1011,Bolton,10,2,12,10,34,18,52,46,1.368421052631579,8,51
season-1011,Chelsea,14,7,21,8,39,30,69,71,1.8157894736842106,2,56
season-1011,Everton,9,4,13,15,31,20,51,54,1.3421052631578947,4,65
season-1011,Fulham,8,3,11,16,30,19,49,49,1.2894736842105263,2,53
season-1011,Liverpool,12,5,17,7,37,22,59,58,1.5526315789473684,2,54
season-1011,Man City,13,8,21,8,34,26,60,71,1.5789473684210527,6,54
season-1011,Man United,18,5,23,11,49,29,78,80,2.0526315789473686,1,48
season-1011,Newcastle,6,5,11,13,41,15,56,46,1.4736842105263157,3,65
season-1011,Stoke,10,3,13,7,31,15,46,46,1.2105263157894737,1,40
season-1011,Sunderland,7,5,12,11,25,20,45,47,1.1842105263157894,4,55
season-1011,Tottenham,9,7,16,14,30,25,55,62,1.4473684210526316,1,58
season-1011,West Brom,8,4,12,11,30,26,56,47,1.4736842105263157,4,56
season-1011,West Ham,5,2,7,12,24,19,43,33,1.131578947368421,0,42
season-1011,Wigan,5,4,9,15,22,18,40,42,1.0526315789473684,2,52
season-1011,Wolves,8,3,11,7,30,16,46,40,1.2105263157894737,1,51
season-1112,Arsenal,12,9,21,7,39,35,74,70,1.9473684210526316,3,71
season-1112,Aston Villa,4,3,7,17,20,17,37,38,0.9736842105263158,4,47
season-1112,Blackburn,6,2,8,7,26,22,48,31,1.263157894736842,1,64
season-1112,Bolton,4,6,10,6,23,23,46,36,1.2105263157894737,3,42
season-1112,Chelsea,12,6,18,10,41,24,65,64,1.7105263157894737,1,63
season-1112,Everton,10,5,15,11,28,22,50,56,1.3157894736842106,2,50
season-1112,Fulham,10,4,14,10,36,12,48,52,1.263157894736842,2,44
season-1112,Liverpool,6,8,14,10,24,23,47,52,1.236842105263158,3,52
season-1112,Man City,18,10,28,5,55,38,93,89,2.4473684210526314,3,50
season-1112,Man United,15,13,28,5,52,37,89,89,2.3421052631578947,2,56
season-1112,Newcastle,11,8,19,8,29,27,56,65,1.4736842105263157,1,52
season-1112,Norwich,7,5,12,11,28,24,52,47,1.368421052631579,4,46
season-1112,QPR,7,3,10,7,24,19,43,37,1.131578947368421,6,56
season-1112,Stoke,7,4,11,12,25,11,36,45,0.9473684210526315,2,44
season-1112,Sunderland,7,4,11,12,26,19,45,45,1.1842105263157894,2,53
season-1112,Swansea,8,4,12,11,27,17,44,47,1.1578947368421053,1,46
season-1112,Tottenham,13,7,20,9,39,27,66,69,1.736842105263158,2,52
season-1112,West Brom,6,7,13,8,21,24,45,47,1.1842105263157894,1,37
season-1112,Wigan,5,6,11,10,22,20,42,43,1.105263157894737,1,67
season-1112,Wolves,3,2,5,10,19,21,40,25,1.0526315789473684,6,54
season-1213,Arsenal,11,10,21,10,47,25,72,73,1.894736842105263,2,58
season-1213,Aston Villa,5,5,10,11,23,24,47,41,1.236842105263158,3,55
season-1213,Chelsea,12,10,22,9,41,34,75,75,1.9736842105263157,4,55
season-1213,Everton,12,4,16,15,33,22,55,63,1.4473684210526316,4,62
season-1213,Fulham,7,4,11,10,28,22,50,43,1.3157894736842106,3,43
season-1213,Liverpool,9,7,16,13,33,38,71,61,1.868421052631579,2,49
season-1213,Man City,14,9,23,9,41,25,66,78,1.736842105263158,2,61
season-1213,Man United,16,12,28,5,45,41,86,89,2.263157894736842,4,51
season-1213,Newcastle,9,2,11,8,24,21,45,41,1.1842105263157894,1,56
season-1213,Norwich,8,2,10,14,25,16,41,44,1.0789473684210527,2,52
season-1213,QPR,2,2,4,13,13,17,30,25,0.7894736842105263,3,47
season-1213,Reading,4,2,6,10,23,20,43,28,1.131578947368421,1,42
season-1213,Southampton,6,3,9,14,26,23,49,41,1.2894736842105263,3,39
season-1213,Stoke,7,2,9,15,21,13,34,42,0.8947368421052632,3,52
season-1213,Sunderland,5,4,9,12,20,21,41,39,1.0789473684210527,3,42
season-1213,Swansea,6,5,11,13,28,19,47,46,1.236842105263158,2,54
season-1213,Tottenham,11,10,21,9,29,37,66,72,1.736842105263158,3,53
season-1213,West Brom,9,5,14,7,32,21,53,49,1.394736842105263,3,51
season-1213,West Ham,9,3,12,10,34,11,45,46,1.1842105263157894,2,51
season-1213,Wigan,4,5,9,9,26,21,47,36,1.236842105263158,2,57
season-1314,Arsenal,13,11,24,7,36,32,68,79,1.7894736842105263,1,48
season-1314,Aston Villa,6,4,10,8,22,17,39,38,1.0263157894736843,1,61
season-1314,Cardiff,5,2,7,9,20,12,32,30,0.8421052631578947,0,47
season-1314,Chelsea,15,10,25,7,43,28,71,82,1.868421052631579,1,63
